University,DV_team_name,link
Norwegian University of Science and Technology,Revolve NTNU Driverless,https://tid.fsg.one/821
AGH University of Science and Technology,AGH Racing Driverless,https://tid.fsg.one/1138
Poznan University of Technology,PUT Motorsport Driverless,https://tid.fsg.one/1104
Wroclaw University of Technology,PWR Racing Team Driverless,https://tid.fsg.one/1243
Universidade de Lisboa - Instituto Superior Técnico,FST Lisboa Driverless,https://tid.fsg.one/1098
Belgorod state technological university named after V. G. Shukhov,SRT Driverless,https://tid.fsg.one/1023
Bauman Moscow State Technical University,Bauman Racing Team,https://tid.fsg.one/1129
Moscow State Automobile & Road Technical University - MADI,Formula MADI,https://tid.fsg.one/1244
Slovak University of Technology in Bratislava,STUBA Green Team Driverless,https://tid.fsg.one/971
University of Maribor,UNI Maribor Grand Prix Engineering,https://tid.fsg.one/895
Escola d'Enginyeria de Barcelona Est. EEBE,e-Tech Racing,https://tid.fsg.one/1262
Escola Tècnica Superior d'Enginyeria Industrial de Barcelona - Universitat Politècnica de Catalunya,BCN eMotorsport DV,https://tid.fsg.one/970
University Carlos III of Madrid (Leganés),dMAD Formula Team,https://tid.fsg.one/1252
University of Alcalá,RobeSafe,https://tid.fsg.one/1181
Universidad Rey Juan Carlos (Móstoles),Driverless Ü Motorsport,https://tid.fsg.one/1251
University of Seville,ARUSd,https://tid.fsg.one/1260
"Escola Superior d'Enginyeries Industrial, Aeroespacial i Audiovisual de Terrassa (UPC)",UPC ecoRacing - Driverless,https://tid.fsg.one/1232
Chalmers University of Technology (Göteborg),Chalmers Formula Student Driverless,https://tid.fsg.one/863
Lund University,Lund Formula Student,https://tid.fsg.one/1235
KTH Royal Institute of Technology (Stockholm),KTH Formula Student Driverless,https://tid.fsg.one/919
École Polytechnique Fédérale de Lausanne,EPFL Racing Team - Driverless,https://tid.fsg.one/1186
Zürcher Hochschule für Angewandte Wissenschaften,Formula Student ZHAW Driverless,https://tid.fsg.one/1193
ETH Zürich,AMZ Driverless,https://tid.fsg.one/785
Middle East Technical University (Ankara),METU Formula Racing Driverless,https://tid.fsg.one/1211
University of Warwick (Coventry),Warwickwasps,https://tid.fsg.one/1154
University of Edinburgh,Edinburgh University Formula Student,https://tid.fsg.one/1071
University of Nottingham,E-NOTT Autonomous Driving,https://tid.fsg.one/1170
Oxford Brookes University,Oxford Brookes Racing Autonomous,https://tid.fsg.one/1157
Auburn University,War Eagle Motorsports,https://tid.fsg.one/777
"University of California, Berkeley",Berkeley Formula Racing,https://tid.fsg.one/1167
Massachusetts Institute of Technology (Cambridge),MIT Driverless,https://tid.fsg.one/956
University of Maryland,REZOOM,https://tid.fsg.one/1166
Oregon State University (Corvallis),Global-Formula-Racing (US),https://tid.fsg.one/1046
University of Florida,CIMAR,https://tid.fsg.one/1168
Colorado School of Mines,COMines,https://tid.fsg.one/1163
Indiana University – Purdue University Indianapolis,Purdue,https://tid.fsg.one/1183
Cornell University (Ithaca),Driverless ONE,https://tid.fsg.one/1169
University of Central Florida,YC2020,https://tid.fsg.one/1155
Purdue University - West Lafayette,Black-and-Gold-Autonomous-Racing-Team,https://tid.fsg.one/1178
