University,CV_team_name,link
Universidade Federal do Pará - Campus Tucuruí - UFPA,WRL-Combustion,https://fs-world.org/p2.php?u=1125&c=1
Universidade Federal de Uberlândia - UFU,UFU Racing,https://tid.fsg.one/1058
Universidade Federal de Viçosa,WRL-Combustion,https://fs-world.org/p2.php?u=1124&c=1
Polo Universitario de Volta Redonda - Universidade Federal Fluminense,WRL-Combustion,https://fs-world.org/p2.php?u=807&c=1
Technical University of Sofia,TU-Sofia Racing Team,https://tid.fsg.one/725
University of Calgary,WRL-Combustion,https://fs-world.org/p2.php?u=408&c=1
Université du Québec à Chicoutimi,WRL-Combustion,https://fs-world.org/p2.php?u=354&c=1
University of Alberta (Edmonton),University of Alberta FSAE,https://tid.fsg.one/329
University of New Brunswick (Fredericton),WRL-Combustion,https://fs-world.org/p2.php?u=1022&c=1
University of Guelph,WRL-Combustion,https://fs-world.org/p2.php?u=417&c=1
Dalhousie University,WRL-Combustion,https://fs-world.org/p2.php?u=231&c=1
University of British Columbia - Okanagan,WRL-Combustion,https://fs-world.org/p2.php?u=1020&c=1
Queen's University,WRL-Combustion,https://fs-world.org/p2.php?u=333&c=1
Fanshawe College,WRL-Combustion,https://fs-world.org/p2.php?u=241&c=1
Western University (London),Western Formula Racing,https://tid.fsg.one/446
Cégep du Vieux Montréal,WRL-Combustion,https://fs-world.org/p2.php?u=211&c=1
Concordia University,WRL-Combustion,https://fs-world.org/p2.php?u=226&c=1
École de Technologie Superieure,Formule ETS,https://tid.fsg.one/145
École Polytechnique de Montréal,EPM Motorsport,https://tid.fsg.one/88
McGill University (Montréal),McGill Racing Team,https://tid.fsg.one/497
University of Ontario Institute of Technology,UOIT Motorsports,https://tid.fsg.one/233
University of Ottawa,WRL-Combustion,https://fs-world.org/p2.php?u=487&c=1
University of Regina,WRL-Combustion,https://fs-world.org/p2.php?u=489&c=1
École nationale d'aérotechnique,WRL-Combustion,https://fs-world.org/p2.php?u=236&c=1
University of Saskatchewan,WRL-Combustion,https://fs-world.org/p2.php?u=439&c=1
Memorial University of Newfoundland,WRL-Combustion,https://fs-world.org/p2.php?u=305&c=1
Lakehead University,WRL-Combustion,https://fs-world.org/p2.php?u=562&c=1
University of Toronto,UToronto Racing,https://tid.fsg.one/147
Université du Québec à Trois-Rivières,WRL-Combustion,https://fs-world.org/p2.php?u=468&c=1
University of British Columbia - Vancouver,WRL-Combustion,https://fs-world.org/p2.php?u=355&c=1
University of Victoria,UVic Racing,https://tid.fsg.one/89
University of Waterloo,University of Waterloo Formula Motorsports,https://tid.fsg.one/317
University of Windsor,Lancer Motorsports,https://tid.fsg.one/47
University of Manitoba,Polar Bear Racing,https://tid.fsg.one/236
Beijing Institute of Technology,BIT-RACING,https://tid.fsg.one/445
Tsinghua University (Beijing),THU Racing,https://tid.fsg.one/527
Jilin University (Changchun),Gspeed Formula Racing Team of Jilin University,https://tid.fsg.one/989
Hunan University (Changsha),Hunan University Racing Team,https://tid.fsg.one/654
Zhejiang University City College,WRL-Combustion,https://fs-world.org/p2.php?u=1040&c=1
TongJi ZheJiang College (Jiaxing City),Dragon Racing Team,https://tid.fsg.one/929
Liaoning University of Technology (Jinzhou),LUT,https://tid.fsg.one/652
Guangxi University of Science and Technology (Liuzhou),GXUST Racing,https://tid.fsg.one/1016
Qingdao Technological University,QTU,https://tid.fsg.one/545
Shanghai Jiao Tong University,WRL-Combustion,https://fs-world.org/p2.php?u=365&c=1
